"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"Vassar Brothers Medical Center","Vassar Brothers Hospital","20200508","grant","$21,125,982","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vassar Health Connecticut Inc","Vassar Health Connecticut Inc","20200506","grant","$1,441,952","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Connecticut","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vdrnc Llc","Vdrnc Llc","20200506","grant","$923,195","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vein Center At Allure Medical Spa Pllc","Vein Center At Allure Medical Spa Pllc","20200506","grant","$766,478","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Venetian Care And Rehabilitation Center","Venetian Care And Rehabilitation Center","20200506","grant","$531,311","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Venice Hma","Venice Hma","20200506","grant","$4,477,036","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Ventura Orthopedics Medical Group Inc","Ventura Orthopedics Medical Group Inc","20200506","grant","$612,529","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Venus Concept Inc.","Venus Concept Inc.","20200429","loan","$0","$1,665,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1409269/000119312520127865/d867207d8k.htm",""," ","","","publicly traded","VERO","","Canada","medical equipment and supplies","medical aesthetic and hair restoration technologies","525","0","0","","0","0","0","0","","$551,822","$0","0"
"Venus Concept USA Inc.","Venus Concept Inc.","20200415","loan","$0","$2,383,125","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1409269/000119312520127865/d867207d8k.htm",""," ","","","publicly traded","VERO","","Canada","medical equipment and supplies","medical aesthetic and hair restoration technologies","525","0","0","","0","0","0","0","","$551,822","$0","0"
"Verde Valley Medical Center","Verde Valley Medical Center","20200506","grant","$3,223,776","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Arizona","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Veritone, Inc.","Veritone, Inc.","20200414","loan","$0","$6,491,300","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1615165/000156459020017472/veri-8k_20200417.htm",""," ","","","publicly traded","VERI","California","USA","information technology","artificial intelligence computing","277","0","0","","0","0","0","0","","$18,669,779","$0","0"
"Vermillion, Inc.","Vermillion, Inc.","20200501","loan","$0","$1,005,767","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/926617/000092661720000024/vrml-20200507x8k.htm",""," ","","","publicly traded","VRML","Texas","USA","medical equipment and supplies","diagnostic products","53","0","0","","0","0","0","0","","$941,832","$0","0"
"Vero Radiology Associates Llc","Vero Radiology Associates Llc","20200506","grant","$524,869","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vertex Energy, Inc.","Vertex Energy, Inc.","20200504","loan","$0","$4,222,000","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/890447/000158069520000189/vtnr-8k_050420.htm",""," ","","","publicly traded","VTNR","Texas","USA","waste management and environmental services","environmental services","225","0","0","","0","0","0","0","","$602,436","$0","0"
"Verus Healthcare Llc","Verus Healthcare Llc","20200506","grant","$3,351,673","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Veterans Memorial Hospital City Of Waukon Ia","Veterans Memorial Hospital City Of Waukon Ia","20200506","grant","$501,621","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Iowa","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vhs Acquisition Subsidiary Number 3 Inc","Vhs Acquisition Subsidiary Number 3 Inc","20200506","grant","$1,169,999","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vhs West Suburban Medical Center Inc","Vhs West Suburban Medical Center Inc","20200506","grant","$1,008,015","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vi Government Hospital And Health Facilities Corp","Vi Government Hospital And Health Facilities Corp","20200506","grant","$1,044,129","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virgin Islands","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Via Affiliates","Via Affiliates","20200506","grant","$977,644","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vicksburg Healthcare Llc","Vicksburg Healthcare Llc","20200506","grant","$2,352,058","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Mississippi","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"VICTOR VALLEY HOSPITAL","VICTOR VALLEY HOSPITAL","20200506","grant","$1,360,723","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vidant Medical Group Llc","Vidant Medical Group Llc","20200506","grant","$3,826,883","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vikor Scientific Llc","Vikor Scientific Llc","20200506","grant","$1,406,914","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Village Center For Care","Village Center For Care","20200506","grant","$920,985","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Village Green Health And Rehabilitation Llc","Village Green Health And Rehabilitation Llc","20200506","grant","$545,842","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Village Podiatry Group","Village Podiatry Group","20200506","grant","$530,888","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Villages Tri-County Medical Center Inc","Villages Tri-County Medical Center Inc","20200506","grant","$5,133,624","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Cancer Institute Incorporated","Virginia Cancer Institute Incorporated","20200506","grant","$4,672,712","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Cancer Specialists Pc","Virginia Cancer Specialists Pc","20200506","grant","$4,559,852","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Cardiovascular Specialists","Virginia Cardiovascular Specialists","20200506","grant","$1,248,734","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Commonwealth University Health System Authority","Virginia Commonwealth University Health System Authority","20200506","grant","$20,444,763","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Eye Consultants","Virginia Eye Consultants","20200506","grant","$771,057","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Garcia Memorial Health Center","Virginia Garcia Memorial Health Center","20200506","grant","$945,789","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Oregon","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Gay Hospital Inc","Virginia Gay Hospital Inc","20200506","grant","$523,401","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Iowa","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Hospital Center - Arlington","Virginia Hospital Center - Arlington","20200508","grant","$13,651,529","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Virginia","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Hospital Center Arlington","Virginia Hospital Center Arlington","20200506","grant","$9,749,511","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Hospital Center Physician Group Llc","Virginia Hospital Center Physician Group Llc","20200506","grant","$722,187","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Mason Medical Center","Virginia Mason Medical Center","20200506","grant","$18,547,895","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Washington","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Oncology Associates","Virginia Oncology Associates","20200506","grant","$10,034,738","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Oncology Care Pc","Virginia Oncology Care Pc","20200506","grant","$573,406","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Physicians Inc","Virginia Physicians Inc","20200506","grant","$1,100,847","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Retina Consultants","Virginia Retina Consultants","20200506","grant","$580,322","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virginia Urology Center","Virginia Urology Center","20200506","grant","$1,617,601","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virtua - Memorial Hospital Of Burlington County","Virtua Health","20200506","grant","$4,710,213","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virtua Medical Group","Virtua Health","20200506","grant","$2,731,764","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virtua Our Lady Of Lourdes Hospital Inc","Virtua Health","20200506","grant","$7,049,771","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virtua West Jersey Health System Inc","Virtua Health","20200506","grant","$10,153,008","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virtua Willingboro Hospital Inc","Virtua Health","20200506","grant","$2,015,879","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virtua Memorial Hospital (FKA Virtua Memorial Hospital of Burlington County)","Virtua Health","20200508","grant","$9,316,631","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virtua Voorhees Hospital","Virtua Health","20200508","grant","$10,166,312","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virtual Radiologic Professionals Llc","Virtual Radiologic Professionals Llc","20200506","grant","$996,223","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","West Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Virtuox","Virtuox","20200506","grant","$604,887","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","District of Columbia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vision Care Center","Vision Care Center","20200506","grant","$699,060","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Vision Medical Consulting","Vision Medical Consulting","20200506","grant","$702,899","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse And Health Services","Visiting Nurse And Health Services","20200506","grant","$609,783","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse And Hospice Care Of Santa Barbara","Visiting Nurse And Hospice Care Of Santa Barbara","20200506","grant","$1,385,879","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse And Hospice Home Inc","Visiting Nurse And Hospice Home Inc","20200506","grant","$722,938","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Indiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association And Hospice Of Vt And Nh Inc","Visiting Nurse Association And Hospice Of Vt And Nh Inc","20200506","grant","$1,038,407","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Vermont","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association Community Healthcare Inc","Visiting Nurse Association Community Healthcare Inc","20200506","grant","$858,344","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Connecticut","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association Of Boston","Visiting Nurse Association Of Boston","20200506","grant","$808,527","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association Of Cape Cod","Visiting Nurse Association Of Cape Cod","20200506","grant","$2,818,609","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association Of Englewood","Visiting Nurse Association Of Englewood","20200506","grant","$766,588","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association Of Northern New Jersey","Visiting Nurse Association Of Northern New Jersey","20200506","grant","$832,414","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association Of Saint Lukes Home Health/Hospice Inc.","Visiting Nurse Association Of Saint Lukes Home Health/Hospice Inc.","20200506","grant","$1,720,314","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association Of Southeastern Connecticut Inc","Visiting Nurse Association Of Southeastern Connecticut Inc","20200506","grant","$697,154","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Connecticut","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association Of The Inland Counties","Visiting Nurse Association Of The Inland Counties","20200506","grant","$750,697","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Association Of The Midlands","Visiting Nurse Association Of The Midlands","20200506","grant","$725,137","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Nebraska","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Hospice & Health Care","Visiting Nurse Hospice & Health Care","20200506","grant","$670,713","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Visiting Nurse Service And Hospice Of Suffolk Inc.","Visiting Nurse Service And Hospice Of Suffolk Inc.","20200506","grant","$1,035,527","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
